config,mse
_0,0.0
_1,0.043622448788257176
_2,0.07046109777026857
_3,0.07005987605127052
_4,0.07376579438946676
_5,0.03631573511980455
_12,0.06370485610782677
_13,0.06728240100486771
_14,0.07064810256202984
_15,0.04043669048337604
_23,0.06370611550451577
_24,0.0691110385469321
_25,0.06413901788843052
_34,0.06717810570010915
_35,0.06777920388546461
_45,0.07165258148245808
_123,0.05863155816566549
_124,0.06268850297276073
_125,0.0708537171435241
_134,0.06125148844453106
_135,0.06310042545618122
_145,0.0666622496379821
_234,0.029469325825192936
_235,0.058383000684574755
_245,0.06284926024837306
_345,0.06116998432696329
_1234,0.026182229709179907
_1235,0.06530486316558112
_1245,0.07212749957786402
_1345,0.07675256486486538
_2345,0.03630461740642697
