epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
1,6.3334,6.1546,5.861,5.9321,5.9124,5.954,6.1686,6.063,6.0421,6.0578,6.1274,5.9026,5.969,6.0623,6.0924,5.9268,6.1184,5.8968,6.1626,13.1133,5.6939,5.9173,5.6912,5.885,5.6966,5.936,5.7002,5.9128,5.7439,5.8981,10.8151,5.929
2,12.3315,12.2073,12.0226,11.5455,12.2619,11.93,12.2983,12.3494,11.9601,12.6563,12.1296,12.0456,12.1002,12.0504,12.0932,12.1082,12.1173,12.0595,12.1676,18.6396,11.6594,11.6887,11.6518,11.6566,11.6638,11.6845,11.6205,11.6615,11.6751,11.677,16.7838,12.1107
3,18.3521,18.6,18.0948,17.3436,18.4282,18.1607,18.6805,18.4585,18.1032,18.8162,18.3278,18.0954,18.0691,18.2037,18.2946,18.1087,18.3054,18.0957,18.3521,24.3688,17.4688,17.6582,17.3911,17.6185,17.4133,17.5938,17.4082,17.4962,17.5362,17.5239,22.7363,18.1633
4,24.3583,24.9947,24.4411,23.0308,24.7203,24.3043,24.7922,24.6776,24.2685,24.9637,24.3615,24.1088,24.2187,24.1662,24.3015,24.2885,24.3129,24.3988,24.3924,29.9075,23.3796,23.4033,23.3637,23.3587,23.3513,23.3846,23.2405,23.3543,23.4055,23.3798,28.6096,24.2278
5,30.3806,31.2875,30.5716,28.8642,30.8922,30.6649,31.0024,30.6719,30.5168,30.9627,30.624,30.1809,30.2023,30.2773,30.4603,30.2712,30.4773,30.5729,30.4646,35.6628,29.2126,29.3027,29.1175,29.2778,29.1334,29.2024,29.1501,29.1058,29.4835,29.1437,34.6756,30.3658
6,36.3685,37.3053,36.7999,34.6321,37.0244,36.7808,37.0085,36.8299,36.7367,37.1789,36.6791,36.1481,36.3883,36.3052,36.4656,36.4402,36.5096,36.9112,36.5503,41.2232,35.0036,35.1094,34.9698,35.0833,34.9575,35.1279,34.8909,35.0312,35.3047,35.0835,40.5797,36.3653
7,42.3608,43.4281,42.8155,40.4683,43.0994,43.0024,43.0753,42.7406,42.7918,43.1901,42.8904,42.3121,42.3589,42.3215,42.6609,42.4671,42.5784,43.0217,42.5727,46.868,40.9399,40.8817,40.8523,40.9052,40.8829,40.8695,40.8534,40.7747,41.2754,40.8241,46.8719,42.5906
8,48.3468,49.3982,48.9375,46.3747,49.0623,49.0076,49.1132,48.775,48.9507,49.3534,48.8957,48.2923,48.5401,48.4186,48.6534,48.5457,48.6521,49.2494,48.7518,52.5448,46.6801,46.8052,46.6015,46.8622,46.6345,46.7747,46.5922,46.6987,47.0413,46.7822,53.1649,48.5982
9,54.3155,55.3878,54.892,52.1741,55.1794,55.1876,55.0116,54.7049,54.8952,55.3539,54.9372,54.4943,54.5235,54.3975,54.7686,54.6389,54.676,55.3428,54.7471,58.082,52.6518,52.5443,52.5421,52.6314,52.5956,52.5289,52.5516,52.4218,53.0186,52.5401,59.5325,54.8267
10,60.2911,61.3796,60.8229,58.2284,61.0813,61.1126,61.0427,60.6294,60.9693,61.5127,61.0158,60.4546,60.6057,60.5413,60.7916,60.6506,60.8477,61.3939,60.9493,63.916,58.4022,58.485,58.2942,58.6311,58.3313,58.4457,58.2925,58.3199,58.9077,58.3675,65.7747,60.8274
11,66.2597,67.3002,66.8529,64.1409,67.1816,67.1243,66.9724,66.7259,66.8802,67.494,67.0812,66.6023,66.667,66.4622,66.8364,66.8258,66.8153,67.5174,66.9432,69.5148,64.3899,64.2472,64.2596,64.3994,64.2987,64.1891,64.1262,64.1259,64.7645,64.2007,72.0575,67.054
12,72.2402,73.399,72.7162,70.3396,73.0946,73.1176,73.0722,72.5889,73.0062,73.5976,73.2864,72.5853,72.6968,72.6194,72.9518,72.8056,72.9457,73.4832,73.1245,75.3308,70.1547,70.1967,69.9997,70.4161,70.0396,70.048,69.9889,69.8814,70.6782,69.9686,78.249,73.0624
13,78.1995,79.2905,78.7974,76.409,79.1726,79.0505,78.9893,78.6573,78.8747,79.633,79.3044,78.7094,78.8472,78.5751,78.8973,79.0138,78.8912,79.622,79.1453,80.9288,75.9909,75.9778,75.877,76.1803,75.9159,75.9098,75.742,75.8223,76.4346,75.9192,84.4017,79.2044
14,84.175,85.3829,84.7068,82.6811,85.0839,85.1104,85.1154,84.5703,84.8746,85.6311,85.4786,84.7437,84.8221,84.6867,85.0259,85.0087,85.0036,85.5617,85.2809,86.6311,81.8785,81.7994,81.7017,82.063,81.7472,81.6462,81.6842,81.5636,82.3798,81.6849,90.5837,85.2946
15,90.1373,91.3202,90.7819,88.7812,91.1176,91.0381,91.0796,90.6389,90.8541,91.7429,91.4403,90.7787,90.9998,90.6112,90.9784,91.2067,90.9606,91.7091,91.3098,92.402,87.6309,87.6997,87.4846,87.9427,87.5066,87.6085,87.4269,87.5187,88.1154,87.63,96.5937,91.3483
16,96.114,97.4143,96.6786,94.8625,97.1469,97.1478,97.1751,96.587,96.7924,97.6876,97.6925,96.8903,96.9802,96.647,97.1677,97.186,97.0903,97.6604,97.3783,98.0359,93.5794,93.4434,93.4341,93.6775,93.4283,93.3703,93.3841,93.2462,94.0666,93.3673,102.7983,97.5188
