epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
1,6.4278,11.2041,6.1775,6.1139,5.9625,6.1834,5.9418,5.9485,5.9388,6.0105,6.0897,6.051,5.9752,6.1806,6.0488,5.9724,6.1436,5.9234,6.1873,6.2528,11.5253,6.2608,6.1596,6.0643,6.0164,5.9354,6.0143,6.1215,6.2464,6.2218,6.2337,6.1568
2,12.5083,17.0191,12.1703,12.156,12.1877,12.1817,12.1792,12.205,12.0551,12.1738,12.0552,12.2185,12.0161,12.1808,12.231,12.2529,12.2113,11.9959,12.167,12.3304,17.2437,12.2546,12.2706,12.2464,12.3035,12.2351,12.0802,12.1298,12.2548,12.2139,12.2491,12.2871
3,18.585,22.9094,18.3089,18.1275,18.1508,18.2334,18.1253,18.2158,18.2168,18.1655,18.2506,18.1973,18.1765,18.378,18.2482,18.2531,18.5591,18.0698,18.2049,18.6213,23.2242,18.3294,18.2969,18.2458,18.3002,18.2204,18.2779,18.4522,18.416,18.3417,18.3219,18.2973
4,24.7116,28.6165,24.47,24.3663,24.2496,24.358,24.2399,24.424,24.4249,24.3562,24.5159,24.4173,24.1241,24.6056,24.4364,24.3391,24.6454,24.0183,24.3286,24.8606,28.9069,24.505,24.6022,24.4785,24.4629,24.3125,24.2936,24.4765,24.5484,24.5257,24.5836,24.5673
5,30.7866,34.5291,30.6883,30.3208,30.3695,30.3127,30.336,30.6244,30.6961,30.38,30.5668,30.4576,30.252,30.7679,30.4556,30.4902,31.022,30.2385,30.2761,30.9046,34.7612,30.4852,30.6159,30.4993,30.6162,30.4666,30.5338,30.5706,30.5359,30.5175,30.574,30.5217
6,36.8879,40.4435,36.8909,36.4048,36.3157,36.4903,36.2898,36.7275,36.6953,36.4246,36.7451,36.4955,36.2926,37.0064,36.4732,36.477,37.4898,36.217,36.4183,37.1287,40.6765,36.724,36.7493,36.5323,36.6131,36.4074,36.6338,36.7581,36.7998,36.7899,36.7963,36.6185
7,42.953,46.2119,42.8826,42.4884,42.5732,42.5008,42.5095,43.0137,42.7722,42.6261,42.7385,42.6573,42.2529,42.9803,42.6243,42.6703,43.4815,42.2259,42.4359,43.0539,46.4112,42.7817,42.8825,42.7289,42.8434,42.6373,42.6848,42.7588,42.7879,42.7857,42.8352,42.7079
8,49.0222,52.2664,48.9542,48.4513,48.8403,48.5149,48.4993,48.9965,49.0175,48.6006,48.8777,48.6228,48.4466,49.1086,48.5767,48.6895,49.605,48.3509,48.7006,49.1042,52.4311,48.8266,48.837,48.702,48.8182,48.6548,48.9443,48.9918,48.8873,48.8571,48.8641,48.6497
9,55.1101,58.0709,55.0863,54.6572,54.818,54.7066,54.6327,55.0834,54.951,54.7174,54.9061,54.8025,54.3871,55.2024,54.6883,54.7311,55.809,54.2863,54.8536,55.1242,58.2577,55.043,55.0662,54.8778,54.899,54.6948,54.9621,55.058,55.0382,55.0315,55.0794,54.8919
10,61.1403,63.9793,61.0175,60.6007,61.0195,60.6828,60.7999,61.131,61.0768,60.7485,60.8865,60.8664,60.4876,61.1464,60.7386,60.914,61.834,60.4074,60.7906,61.0293,64.0684,61.0119,61.0604,60.9423,61.0195,60.8705,61.1272,61.1258,61.0337,61.055,61.038,60.8395
11,67.2264,70.0249,67.1772,66.634,66.9637,66.8436,66.7656,67.0363,67.121,66.7148,67.0612,66.8543,66.5529,67.3211,66.7101,66.8936,68.1466,66.4386,66.8848,67.3204,70.1686,67.1869,67.1266,66.9611,66.9784,66.8196,67.304,67.3308,67.2838,67.2723,67.2129,66.908
12,73.3009,75.8803,73.1801,72.7285,73.0632,72.914,72.9259,73.1796,73.078,72.912,73.0031,73.0537,72.491,73.2505,72.9091,73.1616,74.1717,72.4057,72.9454,73.6065,75.9908,73.2388,73.2936,73.2049,73.2016,72.9949,73.2879,73.3078,73.2897,73.3146,73.2945,73.0491
13,79.3573,82.0081,79.1554,78.6639,79.1279,78.8703,78.9751,79.1092,79.3109,78.891,79.1193,79.0389,78.719,79.2759,78.8765,79.5605,80.2387,78.5719,78.9281,79.5195,82.151,79.2898,79.2731,79.1745,79.1764,79.0448,79.561,79.4776,79.3413,79.3431,79.2818,79.0023
14,85.4606,87.9945,85.2997,84.8247,85.1024,85.0968,84.9759,85.1111,85.2498,85.2345,85.1993,85.1998,84.6981,85.3844,84.954,85.519,86.4577,84.5216,85.1318,85.7008,88.1655,85.5274,85.4587,85.2939,85.2129,85.0404,85.5383,85.5605,85.5145,85.5658,85.5561,85.1883
