config,liong,nitik,megamendung
_0,0.0,0.0,0.0
_1,0.026913369648571116,0.04628695414405046,0.026397630110365288
_2,0.04905369118494583,0.04599454529430508,0.03684391556765619
_3,0.04473021573311914,0.046621265137161055,0.04548282261198274
_4,0.03898084213239469,0.04878269146719181,0.04515988010377111
_5,0.03013162329019028,0.04639221489615322,0.03188711464467097
_12,0.044695836741311196,0.045886658134761456,0.03395465078218053
_13,0.04155303607387296,0.045407999879978705,0.08375175936875073
_14,0.03824209038681175,0.048155085769630596,0.045468241117114234
_15,0.028749713947953885,0.04639828295484944,0.03715892678132576
_23,0.046171237432673325,0.046413393038752374,0.04337576646502723
_24,0.034039970133355385,0.04663133618559494,0.03817725973570779
_25,0.0731391345564488,0.01035304838107569,0.03617623422958615
_34,0.04084076881747666,0.0484167495871691,0.03308097384635909
_35,0.040763706660288765,0.045804185412693835,0.04302222988250074
_45,0.0381757914280179,0.047704949111741675,0.0417159702530666
_123,0.04160747377261419,0.04548298559931032,0.03772490062156518
_124,0.03225316472559843,0.047670179380903996,0.03473722103926215
_125,0.04096094611864148,0.046547594981196615,0.030988377584603433
_134,0.03246928919721897,0.046808152292837524,0.028904236613590296
_135,0.036111916259577985,0.04646836951369816,0.03584749789355723
_145,0.0363042056951943,0.04731935251126636,0.035379048590487745
_234,0.025531454401963607,0.0468010756205189,0.024360686250415403
_235,0.041479017939559895,0.04622851149178248,0.03701997495806285
_245,0.07372011674551829,0.04659650820151052,0.03383570400332097
_345,0.04012484826634295,0.047183838095280595,0.030395569072503466
_1234,0.02466806793853427,0.046423358330630916,0.02456938508381008
_1235,0.05058905932596466,0.04683209293969673,0.04906337573749263
_1245,0.03647396228389674,0.04639313348583261,0.08601267279072429
_1345,0.03656032264735996,0.04747681965356346,0.03727442366067076
_2345,0.02503631959471916,0.04593107753293623,0.031606131282360464
